,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-oxford-store400,01,A,A,25,83.98,74.48,58.56,38.44,8.84,0.6,0.1,1.85,25.83,51.21,74.19,86.15,88.67,80.25,60.41,39.5,15.02,2.17,,,,,,
m01-A-A-5-oxford-store400,01,A,A,5,83.75,74.48,58.59,38.42,8.89,0.57,0.08,1.6,25.6,51.32,74.33,86.39,88.84,80.4,60.37,39.89,15.1,2.01,,,,,,
m01-A-A-50-oxford-store400,01,A,A,50,83.84,74.48,58.59,38.46,8.75,0.61,0.1,1.76,25.93,51.23,74.38,86.38,88.7,80.47,60.54,39.72,14.99,2.12,,,,,,
m01-A-A-75-oxford-store400,01,A,A,75,83.95,74.18,58.33,38.27,8.93,0.57,0.08,1.64,25.76,51.19,74.4,86.43,88.79,80.24,60.38,39.72,15.11,2.12,,,,,,
m01-A-A-95-oxford-store400,01,A,A,95,83.84,74.37,58.42,38.49,8.74,0.58,0.09,1.65,25.71,51.18,74.42,86.37,88.69,80.12,60.33,39.96,15.12,2.1,,,,,,
m01-A-C-25-oxford-store400,01,A,C,25,74.08,74.61,59.59,38.92,8.88,0.61,0.09,1.71,26.07,51.42,74.43,86.14,84.23,78.96,61.68,40.47,15.35,2.16,,,,,,
m01-A-C-5-oxford-store400,01,A,C,5,74.01,74.49,59.62,38.97,9.07,0.65,0.08,1.86,26.4,51.58,74.45,86.3,83.98,78.99,61.64,40.45,15.49,2.08,,,,,,
m01-A-C-50-oxford-store400,01,A,C,50,73.99,74.58,59.42,39.06,8.82,0.61,0.09,1.78,26.19,51.61,74.39,86.34,84.13,78.91,61.73,40.56,15.36,2.12,,,,,,
m01-A-C-75-oxford-store400,01,A,C,75,74.11,74.34,59.6,39.04,8.83,0.64,0.06,1.88,26.49,51.5,74.34,86.28,84.13,78.88,61.45,40.46,15.47,2.24,,,,,,
m01-A-C-95-oxford-store400,01,A,C,95,73.94,74.32,59.39,39.08,8.94,0.63,0.08,1.87,25.96,51.29,74.49,86.38,84.17,78.94,61.72,40.41,15.37,2.21,,,,,,
m01-A-H-25-oxford-store400,01,A,H,25,88.69,73.95,57.65,37.82,8.6,0.6,0.08,1.68,25.38,50.57,74.2,86.16,90.26,80.6,59.18,39.1,14.87,2.14,,,,,,
m01-A-H-5-oxford-store400,01,A,H,5,88.8,74.26,57.59,37.87,8.76,0.56,0.06,1.62,25.37,50.81,74.15,86.23,90.19,80.67,59.22,39.23,14.84,2.06,,,,,,
m01-A-H-50-oxford-store400,01,A,H,50,88.86,74.09,57.45,37.85,8.67,0.61,0.07,1.68,25.29,50.79,74.27,86.23,90.35,80.7,59.2,39.02,14.87,2.14,,,,,,
m01-A-H-75-oxford-store400,01,A,H,75,88.86,73.98,57.41,37.82,8.61,0.56,0.08,1.67,25.33,50.69,74.08,86.12,90.32,80.67,59.42,38.91,15.0,2.02,,,,,,
m01-A-H-95-oxford-store400,01,A,H,95,88.64,73.86,57.54,37.9,8.75,0.59,0.08,1.68,25.37,50.82,74.21,86.13,90.0,80.4,59.43,39.16,14.96,2.07,,,,,,
m01-D-A-25-oxford-store400,01,D,A,25,84.31,74.34,58.71,38.57,8.62,0.64,0.1,1.81,25.98,51.21,74.28,86.69,90.27,80.43,60.78,39.81,15.4,2.08,,,,,,
m01-D-A-5-oxford-store400,01,D,A,5,84.21,74.43,58.65,38.57,8.79,0.58,0.1,1.8,25.86,51.21,74.38,86.56,90.27,80.18,60.84,39.78,15.24,2.14,,,,,,
m01-D-A-50-oxford-store400,01,D,A,50,84.33,74.53,58.82,38.61,8.71,0.62,0.1,1.82,25.86,51.04,74.32,86.64,90.13,80.02,60.64,39.95,15.22,1.98,,,,,,
m01-D-A-75-oxford-store400,01,D,A,75,83.88,72.16,58.33,38.44,8.69,0.6,0.08,1.76,25.72,51.31,74.26,86.62,89.51,77.73,60.66,39.93,15.35,2.05,,,,,,
m01-D-A-95-oxford-store400,01,D,A,95,66.23,58.0,54.22,36.36,8.27,0.5,0.08,1.33,23.7,49.18,72.96,84.99,72.49,59.78,56.52,37.68,14.13,1.83,,,,,,
m01-D-C-25-oxford-store400,01,D,C,25,72.47,74.32,59.61,39.1,8.78,0.65,0.09,1.92,26.08,51.45,74.36,86.32,83.37,78.75,61.92,40.56,15.41,2.2,,,,,,
m01-D-C-5-oxford-store400,01,D,C,5,72.33,74.5,59.61,39.07,8.95,0.61,0.12,1.83,26.27,51.52,74.41,86.13,83.42,78.69,61.83,40.74,15.42,2.17,,,,,,
m01-D-C-50-oxford-store400,01,D,C,50,72.43,74.36,59.54,39.18,8.84,0.66,0.09,1.83,26.35,51.59,74.46,86.11,83.43,78.55,61.8,40.82,15.54,2.14,,,,,,
m01-D-C-75-oxford-store400,01,D,C,75,72.46,73.53,59.37,39.1,9.03,0.67,0.08,1.87,26.15,51.39,74.29,86.26,83.1,77.46,61.79,40.62,15.38,2.17,,,,,,
m01-D-C-95-oxford-store400,01,D,C,95,62.33,61.86,56.83,37.68,8.55,0.52,0.07,1.55,24.9,50.05,73.62,85.24,72.58,64.24,59.24,39.15,14.97,2.11,,,,,,
m01-D-H-25-oxford-store400,01,D,H,25,90.61,74.11,57.47,37.65,8.5,0.62,0.06,1.69,25.21,50.67,74.06,86.4,92.8,80.95,59.57,39.15,14.99,2.11,,,,,,
m01-D-H-5-oxford-store400,01,D,H,5,90.66,74.09,57.66,37.88,8.63,0.6,0.07,1.66,25.37,50.53,74.27,86.45,92.79,80.81,59.34,39.22,14.95,2.07,,,,,,
m01-D-H-50-oxford-store400,01,D,H,50,90.68,74.06,57.49,37.84,8.5,0.59,0.1,1.55,25.24,50.96,73.99,86.39,92.76,80.91,59.45,39.19,14.94,2.0,,,,,,
m01-D-H-75-oxford-store400,01,D,H,75,90.22,72.52,57.35,37.64,8.67,0.55,0.09,1.57,25.18,50.43,74.15,86.44,91.96,78.71,59.27,39.24,15.0,2.01,,,,,,
m01-D-H-95-oxford-store400,01,D,H,95,74.2,59.95,54.03,35.94,8.2,0.51,0.05,1.35,23.52,49.15,73.08,85.19,77.07,61.83,55.91,37.31,14.17,1.84,,,,,,
m01-W-A-25-oxford-store400,01,W,A,25,80.77,74.55,58.62,38.45,8.84,0.63,0.07,1.74,25.72,51.11,74.31,86.08,86.39,80.17,60.64,40.05,15.16,2.06,,,,,,
m01-W-A-5-oxford-store400,01,W,A,5,80.97,74.55,58.5,38.52,8.68,0.62,0.1,1.84,25.78,51.31,74.34,86.04,86.49,79.93,60.74,39.88,15.24,2.15,,,,,,
m01-W-A-50-oxford-store400,01,W,A,50,80.96,74.42,58.69,38.5,8.79,0.58,0.08,1.74,25.92,50.97,74.32,86.22,86.41,80.04,60.79,39.91,15.21,2.01,,,,,,
m01-W-A-75-oxford-store400,01,W,A,75,80.87,74.45,58.7,38.48,8.57,0.48,0.06,1.88,26.07,51.26,74.3,86.27,86.52,80.04,60.67,40.02,15.22,2.12,,,,,,
m01-W-A-95-oxford-store400,01,W,A,95,81.01,74.35,58.73,38.5,8.79,0.59,0.09,1.73,25.77,51.21,74.43,86.17,86.47,80.18,60.75,39.86,15.33,2.09,,,,,,
m01-W-C-25-oxford-store400,01,W,C,25,70.18,74.53,59.27,39.09,8.73,0.62,0.07,1.82,26.11,51.63,74.37,86.04,80.58,78.37,61.75,40.44,15.47,2.15,,,,,,
m01-W-C-5-oxford-store400,01,W,C,5,70.31,74.42,59.45,39.07,8.86,0.62,0.11,1.87,26.13,51.37,74.45,86.09,80.3,78.24,61.79,40.58,15.39,2.14,,,,,,
m01-W-C-50-oxford-store400,01,W,C,50,69.99,74.53,59.59,39.16,8.95,0.65,0.1,1.92,26.34,51.2,74.43,86.0,80.44,78.37,61.69,40.49,15.46,2.18,,,,,,
m01-W-C-75-oxford-store400,01,W,C,75,69.94,74.51,59.56,39.02,8.85,0.56,0.09,1.85,26.28,51.19,74.46,85.89,80.45,78.42,61.86,40.59,15.56,2.21,,,,,,
m01-W-C-95-oxford-store400,01,W,C,95,70.24,74.51,59.38,38.87,8.87,0.7,0.1,1.92,26.21,51.45,74.55,86.02,80.29,78.34,61.73,40.62,15.44,2.17,,,,,,
m01-W-H-25-oxford-store400,01,W,H,25,85.2,73.77,57.02,37.55,8.67,0.58,0.08,1.55,25.19,50.66,74.08,85.57,86.53,80.45,58.8,38.8,14.8,2.06,,,,,,
m01-W-H-5-oxford-store400,01,W,H,5,85.18,73.79,56.94,37.53,8.47,0.55,0.07,1.56,24.99,50.55,74.1,85.84,86.55,80.35,58.93,38.81,14.94,2.06,,,,,,
m01-W-H-50-oxford-store400,01,W,H,50,85.29,73.94,57.2,37.58,8.57,0.53,0.09,1.61,25.25,50.54,74.01,85.59,86.52,80.49,58.95,38.96,14.9,1.94,,,,,,
m01-W-H-75-oxford-store400,01,W,H,75,85.38,73.94,57.05,37.59,8.6,0.51,0.06,1.49,25.03,50.49,74.18,85.82,86.65,80.33,58.71,38.78,14.82,1.98,,,,,,
m01-W-H-95-oxford-store400,01,W,H,95,85.28,74.02,57.09,37.63,8.54,0.52,0.07,1.62,25.24,50.46,74.12,85.86,86.61,80.43,58.88,38.93,14.72,1.99,,,,,,
m02-A-A-25-oxford-store400,02,A,A,25,74.33,58.37,38.45,8.84,0.62,0.08,1.81,25.77,51.17,74.31,86.31,88.71,80.3,60.28,39.88,15.18,1.98,,,,,,,
m02-A-A-5-oxford-store400,02,A,A,5,74.6,58.44,38.35,8.92,0.58,0.1,1.67,25.82,51.1,74.3,86.41,88.7,80.32,60.58,39.83,15.12,2.0,,,,,,,
m02-A-A-50-oxford-store400,02,A,A,50,74.37,58.64,38.52,8.76,0.61,0.08,1.79,25.71,51.29,74.26,86.57,88.69,80.26,60.55,39.85,15.2,2.13,,,,,,,
m02-A-A-75-oxford-store400,02,A,A,75,74.52,58.54,38.35,8.77,0.63,0.07,1.76,25.68,51.13,74.34,86.3,88.59,80.39,60.63,39.87,15.3,2.1,,,,,,,
m02-A-A-95-oxford-store400,02,A,A,95,73.56,57.85,38.29,8.84,0.6,0.11,1.57,25.46,50.79,74.24,86.42,88.76,79.43,59.37,39.75,15.27,2.1,,,,,,,
m02-A-C-25-oxford-store400,02,A,C,25,68.01,58.12,38.89,8.88,0.66,0.11,1.95,26.11,51.58,74.21,86.44,88.68,76.01,60.21,40.39,15.49,2.1,,,,,,,
m02-A-C-5-oxford-store400,02,A,C,5,67.8,58.2,38.88,8.91,0.6,0.08,1.75,25.92,51.38,74.51,86.48,88.56,76.02,60.19,40.09,15.42,2.2,,,,,,,
m02-A-C-50-oxford-store400,02,A,C,50,67.79,58.23,38.89,8.81,0.61,0.07,1.92,25.99,51.13,74.45,86.31,88.67,76.19,60.02,40.46,15.22,2.13,,,,,,,
m02-A-C-75-oxford-store400,02,A,C,75,67.93,58.24,38.82,8.78,0.59,0.1,1.75,26.03,51.53,74.47,86.45,88.59,76.16,60.24,40.23,15.36,2.11,,,,,,,
m02-A-C-95-oxford-store400,02,A,C,95,67.68,57.9,38.78,8.82,0.61,0.11,1.71,25.92,51.53,74.19,86.22,88.69,75.86,59.7,40.23,15.24,2.22,,,,,,,
m02-A-H-25-oxford-store400,02,A,H,25,81.31,58.64,37.77,8.63,0.52,0.07,1.61,25.19,50.55,74.38,86.4,89.15,84.83,60.96,38.87,14.95,2.02,,,,,,,
m02-A-H-5-oxford-store400,02,A,H,5,81.59,58.73,37.89,8.65,0.53,0.07,1.61,25.39,50.81,74.16,86.24,88.96,84.88,60.74,39.28,14.8,2.04,,,,,,,
m02-A-H-50-oxford-store400,02,A,H,50,81.44,58.69,37.82,8.68,0.6,0.08,1.61,25.3,50.84,74.35,86.12,88.98,84.82,60.82,39.12,14.87,2.03,,,,,,,
m02-A-H-75-oxford-store400,02,A,H,75,81.29,58.69,37.82,8.6,0.6,0.06,1.7,25.45,50.8,74.08,86.26,89.02,84.8,60.83,39.25,14.9,2.07,,,,,,,
m02-A-H-95-oxford-store400,02,A,H,95,80.44,57.83,37.63,8.61,0.52,0.07,1.61,25.3,50.44,74.15,86.07,88.77,83.89,59.27,39.13,15.03,1.97,,,,,,,
m02-D-A-25-oxford-store400,02,D,A,25,73.19,58.15,38.37,8.66,0.61,0.09,1.83,25.8,51.14,74.43,86.36,88.63,79.38,60.14,39.84,15.29,1.97,,,,,,,
m02-D-A-5-oxford-store400,02,D,A,5,73.29,58.66,38.68,8.81,0.6,0.1,1.8,25.95,51.31,74.55,86.4,88.65,79.43,60.41,39.84,15.21,2.17,,,,,,,
m02-D-A-50-oxford-store400,02,D,A,50,61.86,43.89,34.97,8.1,0.46,0.07,1.22,22.76,48.89,72.79,84.58,87.47,67.5,42.1,35.76,13.76,1.66,,,,,,,
m02-D-A-75-oxford-store400,02,D,A,75,58.07,40.2,33.83,7.78,0.43,0.08,1.15,21.8,47.58,72.14,83.69,86.71,63.87,37.63,34.37,13.17,1.61,,,,,,,
m02-D-A-95-oxford-store400,02,D,A,95,56.1,38.17,33.16,7.52,0.36,0.02,0.87,21.23,47.02,71.79,83.71,86.46,61.79,35.65,33.67,12.97,1.47,,,,,,,
m02-D-H-25-oxford-store400,02,D,H,25,80.4,57.9,37.84,8.75,0.51,0.11,1.53,25.2,50.59,74.21,86.11,88.86,84.0,59.73,39.29,14.96,1.92,,,,,,,
m02-D-H-5-oxford-store400,02,D,H,5,80.38,58.57,37.8,8.65,0.56,0.06,1.69,25.31,50.87,74.37,86.32,89.0,84.21,60.66,39.24,14.94,2.03,,,,,,,
m02-D-H-50-oxford-store400,02,D,H,50,62.31,40.6,33.08,7.68,0.41,0.03,0.97,21.31,47.16,72.07,84.03,87.07,66.4,38.7,33.92,13.07,1.54,,,,,,,
m02-D-H-75-oxford-store400,02,D,H,75,58.57,36.27,31.63,7.35,0.32,0.02,0.82,19.76,46.01,71.07,82.96,86.36,61.61,34.45,32.19,12.3,1.39,,,,,,,
m02-D-H-95-oxford-store400,02,D,H,95,56.12,33.96,30.78,7.17,0.34,0.02,0.68,19.19,45.12,70.65,82.5,85.95,60.02,31.65,31.21,12.05,1.25,,,,,,,
m02-W-A-25-oxford-store400,02,W,A,25,74.24,58.51,38.6,8.78,0.61,0.09,1.8,26.08,51.33,74.26,86.42,88.62,79.96,60.59,39.89,15.22,2.18,,,,,,,
m02-W-A-5-oxford-store400,02,W,A,5,74.07,58.58,38.49,8.84,0.58,0.08,1.83,26.14,51.0,74.36,86.61,88.59,80.09,60.51,39.8,15.14,2.1,,,,,,,
m02-W-A-50-oxford-store400,02,W,A,50,74.16,58.67,38.48,8.68,0.6,0.09,1.89,25.7,51.13,74.55,86.32,88.56,79.89,60.66,40.01,15.05,2.05,,,,,,,
