,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-eyrewell-store800,01,A,A,25,93.53,83.27,67.63,48.28,14.83,5.83,5.07,18.41,45.57,67.69,87.14,98.39,98.74,88.0,68.71,49.21,25.27,8.53,,,,,,
m01-A-A-5-eyrewell-store800,01,A,A,5,93.41,83.05,67.68,48.35,14.76,5.74,4.97,18.52,45.6,67.67,87.14,98.52,98.6,87.99,68.55,49.13,25.27,8.55,,,,,,
m01-A-A-50-eyrewell-store800,01,A,A,50,93.37,83.18,67.73,48.5,14.66,5.69,5.05,18.62,45.58,67.64,87.15,98.43,98.64,88.05,68.72,49.19,25.27,8.49,,,,,,
m01-A-A-75-eyrewell-store800,01,A,A,75,93.33,83.2,67.76,48.32,14.75,5.83,5.11,18.26,45.72,67.64,87.2,98.35,98.55,87.96,68.46,49.1,25.23,8.6,,,,,,
m01-A-A-95-eyrewell-store800,01,A,A,95,93.39,83.15,67.77,48.43,14.63,5.69,5.2,18.29,45.86,67.64,87.08,98.54,98.67,88.04,68.64,49.12,25.1,8.64,,,,,,
m01-A-C-25-eyrewell-store800,01,A,C,25,85.25,83.19,68.37,48.72,14.66,5.95,5.22,18.56,45.83,67.81,87.19,98.45,94.88,87.15,69.72,49.58,25.51,8.69,,,,,,
m01-A-C-5-eyrewell-store800,01,A,C,5,85.34,83.26,68.49,48.84,14.53,5.71,5.19,18.51,45.66,67.85,87.34,98.45,94.76,87.08,69.65,49.48,25.42,8.77,,,,,,
m01-A-C-50-eyrewell-store800,01,A,C,50,85.19,83.46,68.41,48.78,14.72,5.91,5.24,18.57,45.88,67.71,87.3,98.32,94.76,87.09,69.66,49.57,25.58,8.73,,,,,,
m01-A-C-75-eyrewell-store800,01,A,C,75,85.21,83.26,68.38,48.74,14.71,5.89,5.2,18.43,45.89,67.61,87.23,98.45,94.76,86.96,69.51,49.55,25.68,8.77,,,,,,
m01-A-C-95-eyrewell-store800,01,A,C,95,85.3,83.19,68.36,48.73,14.64,5.82,5.23,18.3,45.81,67.77,87.17,98.28,95.09,87.04,69.6,49.55,25.44,8.8,,,,,,
m01-A-H-25-eyrewell-store800,01,A,H,25,98.3,82.52,66.57,47.79,14.57,5.62,4.96,18.13,45.49,67.36,86.84,98.31,100.42,88.34,67.43,48.53,25.06,8.4,,,,,,
m01-A-H-5-eyrewell-store800,01,A,H,5,98.52,82.62,66.76,47.93,14.59,5.75,5.1,18.19,45.27,67.39,87.01,98.38,100.39,88.18,67.37,48.44,24.92,8.42,,,,,,
m01-A-H-50-eyrewell-store800,01,A,H,50,98.51,82.57,66.68,47.84,14.52,5.48,5.1,18.15,45.45,67.41,86.98,98.35,100.28,88.25,67.38,48.51,25.14,8.4,,,,,,
m01-A-H-75-eyrewell-store800,01,A,H,75,98.53,82.6,66.68,47.89,14.54,5.61,5.03,18.1,45.4,67.34,87.19,98.31,100.42,88.42,67.46,48.51,25.11,8.36,,,,,,
m01-A-H-95-eyrewell-store800,01,A,H,95,98.33,82.57,66.64,47.89,14.49,5.61,5.06,18.12,45.33,67.27,87.16,98.25,100.38,88.39,67.25,48.58,25.12,8.49,,,,,,
m01-D-A-25-eyrewell-store800,01,D,A,25,95.34,83.26,67.83,48.33,14.65,5.75,5.26,18.58,45.69,67.55,87.14,98.77,101.22,87.98,68.64,49.09,25.32,8.55,,,,,,
m01-D-A-5-eyrewell-store800,01,D,A,5,95.3,83.2,67.81,48.38,14.73,5.87,5.17,18.36,45.71,67.79,87.25,98.66,101.21,88.03,68.7,49.44,25.2,8.55,,,,,,
m01-D-A-50-eyrewell-store800,01,D,A,50,95.49,83.06,67.75,48.45,14.74,5.72,5.12,18.2,45.66,67.52,87.32,98.67,101.3,88.06,68.67,49.27,25.21,8.53,,,,,,
m01-D-A-75-eyrewell-store800,01,D,A,75,95.4,83.17,67.67,48.47,14.68,5.71,5.2,18.41,45.64,67.63,87.21,98.82,101.22,88.02,68.66,49.15,25.43,8.53,,,,,,
m01-D-A-95-eyrewell-store800,01,D,A,95,91.14,72.41,65.9,47.9,14.51,5.71,4.92,18.25,45.27,67.39,86.86,98.35,96.73,74.31,66.86,48.49,25.0,8.48,,,,,,
m01-D-C-25-eyrewell-store800,01,D,C,25,87.24,83.36,68.39,48.75,14.72,5.8,5.18,18.44,45.87,67.71,87.25,98.47,97.2,87.14,69.5,49.65,25.44,8.61,,,,,,
m01-D-C-5-eyrewell-store800,01,D,C,5,87.1,83.41,68.44,48.72,14.85,5.92,5.14,18.58,45.98,67.86,87.09,98.59,97.29,87.3,69.67,49.78,25.4,8.68,,,,,,
m01-D-C-50-eyrewell-store800,01,D,C,50,87.22,83.3,68.33,48.68,14.78,5.82,5.19,18.46,46.08,67.78,87.19,98.61,97.34,87.41,69.74,49.75,25.68,8.74,,,,,,
m01-D-C-75-eyrewell-store800,01,D,C,75,87.06,83.22,68.43,48.78,14.59,5.86,5.17,18.45,45.86,67.64,87.09,98.66,97.24,87.22,69.79,49.61,25.44,8.8,,,,,,
m01-D-C-95-eyrewell-store800,01,D,C,95,84.35,72.51,66.56,48.31,14.75,5.73,5.11,18.04,45.43,67.26,86.82,98.23,93.18,73.72,67.77,48.96,25.13,8.72,,,,,,
