,month,precip,temp,rest,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
m01-A-A-25-oxford-store800,01,A,A,25,84.65,75.4,59.19,38.95,9.09,0.6,0.08,1.85,26.52,51.83,74.94,86.88,89.26,80.78,61.1,40.18,15.32,2.12,,,,,,
m01-A-A-5-oxford-store800,01,A,A,5,84.74,75.21,59.16,38.94,8.97,0.57,0.1,1.87,26.39,51.89,74.84,86.93,89.2,80.76,60.96,40.21,15.26,2.13,,,,,,
m01-A-A-50-oxford-store800,01,A,A,50,84.77,75.15,59.26,38.97,8.82,0.64,0.12,1.88,26.56,51.82,74.78,87.01,89.35,80.75,60.86,40.18,15.44,2.07,,,,,,
m01-A-A-75-oxford-store800,01,A,A,75,84.73,75.15,59.16,38.92,8.91,0.58,0.09,1.89,26.41,51.59,74.81,87.01,89.23,80.96,60.71,40.27,15.36,2.09,,,,,,
m01-A-A-95-oxford-store800,01,A,A,95,85.07,75.14,59.12,38.98,8.88,0.68,0.1,1.85,26.48,51.83,74.97,87.06,89.33,80.85,60.93,40.03,15.4,2.07,,,,,,
m01-A-C-25-oxford-store800,01,A,C,25,75.06,75.25,60.02,39.34,9.2,0.69,0.12,2.11,26.92,52.0,74.94,86.89,85.08,79.48,62.12,40.8,15.64,2.22,,,,,,
m01-A-C-5-oxford-store800,01,A,C,5,74.97,75.22,59.96,39.31,9.08,0.7,0.12,1.94,26.83,51.96,75.05,86.94,85.02,79.45,62.1,40.88,15.51,2.17,,,,,,
m01-A-C-50-oxford-store800,01,A,C,50,74.91,75.26,59.94,39.42,8.95,0.69,0.11,2.08,26.83,52.09,74.84,86.95,84.71,79.3,62.12,40.96,15.48,2.26,,,,,,
m01-A-C-75-oxford-store800,01,A,C,75,74.89,75.29,60.03,39.57,9.05,0.6,0.09,1.99,26.81,52.05,75.05,86.8,84.86,79.45,62.04,40.77,15.58,2.22,,,,,,
m01-A-C-95-oxford-store800,01,A,C,95,74.74,75.35,59.92,39.34,9.03,0.6,0.11,1.99,26.56,52.06,74.83,86.91,84.93,79.32,61.95,40.89,15.67,2.21,,,,,,
m01-A-H-25-oxford-store800,01,A,H,25,89.78,74.79,58.01,38.15,8.84,0.58,0.08,1.59,25.74,51.28,74.74,86.69,90.77,81.42,59.75,39.37,15.1,2.08,,,,,,
m01-A-H-5-oxford-store800,01,A,H,5,89.58,74.87,58.34,38.2,8.75,0.59,0.09,1.72,26.15,51.33,74.67,86.72,90.69,81.4,59.79,39.41,15.02,2.0,,,,,,
m01-A-H-50-oxford-store800,01,A,H,50,89.64,74.94,58.09,38.04,8.82,0.56,0.09,1.62,25.85,51.26,74.78,86.79,90.87,81.34,59.68,39.57,14.93,2.06,,,,,,
